NÂº,#,TID,EPC,,,(kHz),(0Â°-180Â°),
212,1,E200341201311B00028827E5040E012E300D5FFBFFFFDC60,4E20190A0000000000000958,-55,11,923250,42,Gen2
213,2,E200341201311B00028827E5040E012E000D5FFBFFFFDC60,4E20190A0000000000000958,-58,11,923250,143,Gen2
214,1,E200341201311B00028827E5040E0130300D5FFBFFFFDC60,4E20190A0000000000000958,-51,11,923250,22,Gen2
215,1,E2003412013503000D06719E1C160131000D5FFBFFFFDC60,AA0004EF55555555AA0027AD,-59,11,923250,28,Gen2
216,1,E2003412013503000D06719E1C16012F300D5FFBFFFFDC60,AA0004EF55555555AA0027AD,-51,11,923250,101,Gen2
217,1,E2003412013503000D06719E1C160131300D5FFBFFFFDC60,AA0004EF55555555AA0027AD,-51,11,923250,112,Gen2
218,2,E2003412013503000D06719E1C160130300D5FFBFFFFDC60,AA0004EF55555555AA0027AD,-50,11,923250,98,Gen2
219,2,E200680B00004006A1B1ED270000000000000000000000000000,E200680B0000000000000000,-57,11,923250,174,Gen2
220,1,E20034120144FC000D13FB42011B0142700D5FFBFFFFDC40,E2000019080A027021603823,-51,11,923250,11,Gen2
221,1,E20034120144FC000D13FB42011B0141300D5FFBFFFFDC40,E2000019080A027021603823,-52,11,923250,47,Gen2
222,5,E200680B00004006A1B360430000000000000000000000000000,E200680B0000000000000000,-55,11,923250,132,Gen2
223,1,E2003412013602000A534C36160A0132300D4AFBFFFFDC60,4E20190A02BF800000000001,-49,11,923250,25,Gen2
224,5,E200600316D99666,77444,-55,11,923250,81,Gen2
225,1,E280110520007446B5C80A28000000000000000000000000,FFFF0001,-41,11,923250,56,Gen2
226,1,E2003412013602000A534C36160A0134300D4AFBFFFFDC60,4E20190A02BF800000000001,-52,11,923250,109,Gen2
227,2,E200680B00004006A03140E40000000000000000000000000000,E200680B0000000000000000,-52,11,923250,115,Gen2
228,2,E20065750548CA96,43551,-55,11,923250,92,Gen2
229,2,E200680B00004006A1B401250000000000000000000000000000,E200680B0000000000000000,-57,11,923250,151,Gen2
230,2,E200680B000040069F350D230000000000000000000000000000,E200680B0000000000000000,-54,11,923250,14,Gen2
231,3,E200680B000040069F2610770000000000000000000000000000,E200680B0000000000000000,-51,11,923250,129,Gen2
232,2,E2003412012D0500004DFB6D1B1E012E300D5FFBFFFFDC60,E200002023010056118018F0,-54,11,923250,154,Gen2
233,1,E2003412012D0500004DFB6D1B1E012E700D5FFBFFFFDC60,E200002023010056118018F0,-51,11,923250,160,Gen2
234,2,E20034120138FD0006DB3465041E0135300D5FFBFFFFDC40,E20000153509024221903465,-51,11,923250,146,Gen2
235,4,E200680B00004006A1B3A81C0000000000000000000000000000,E200680B0000000000000000,-58,11,923250,129,Gen2
236,1,E200680B00004006B9F1F0760000000000000000000000000000,E200680B0000000000000000,-61,11,923250,177,Gen2
237,1,E2003412013302000A5349E2100A012F300D4AFBFFFFDC50,4E20190A0307000000000001,-51,11,923250,160,Gen2
238,2,E20065750549BCB9,84746,-60,11,923250,73,Gen2
239,1,E280110020007913BDB609B2,800720000000000000000115,-58,11,923250,115,Gen2
240,3,E200680B00004006A1A17D0C0000000000000000000000000000,E200680B0000000000000000,-54,11,923250,135,Gen2
241,3,E200680B000040069F34811A0000000000000000000000000000,E200680B0000000000000000,-51,11,923250,151,Gen2
242,2,E20034120137FC000D13D6D30B1E0134300D5FFBFFFFDC50,E2000019080A0180257013B4,-50,11,923250,129,Gen2
243,1,E20034120137FC000D13D6D30B1E0135300D5FFBFFFFDC50,E2000019080A0180257013B4,-49,11,923250,154,Gen2
244,1,E20065750548A60C,36689,-59,11,923250,135,Gen2
245,1,E28011002000531A8B7D0170,4E201981DA71000000000000,-59,11,923250,14,Gen2
246,4,E200600316D98E6B,29270,-57,11,923250,137,Gen2
247,4,E200680B00004006A1B36C7B0000000000000000000000000000,E200680B0000000000000000,-50,11,923250,171,Gen2
248,3,E200680B00004006A031811B0000000000000000000000000000,E200680B0000000000000000,-49,11,923250,129,Gen2
249,3,E200680B00004006A031D8980000000000000000000000000000,E200680B0000000000000000,-50,11,923250,157,Gen2
250,4,E200600316D917B7,20623,-58,11,923250,5,Gen2
251,4,E200680B00004006A1A189050000000000000000000000000000,E200680B0000000000000000,-52,11,923250,135,Gen2
252,3,E200680B00004006A1B2D91F0000000000000000000000000000,E200680B0000000000000000,-55,11,923250,33,Gen2
253,3,E200657505496423,82861,-58,11,923250,95,Gen2
254,1,E200680B00004006B9F359310000000000000000000000000000,E200680B0000000000000000,-58,11,923250,95,Gen2
255,3,E200680B00004006A192AC090000000000000000000000000000,E200680B0000000000000000,-51,11,923250,165,Gen2
256,4,E200680B00004006A19288BE0000000000000000000000000000,E200680B0000000000000000,-48,11,923250,154,Gen2
257,1,E2003412012E2000003030341E05012A300D5FFBFFFFDC50,E2000020830301860590A5F5,-56,11,923250,73,Gen2
258,1,E2003412012E2000003030341E050129300D5FFBFFFFDC50,E2000020830301860590A5F5,-54,11,923250,109,Gen2
259,2,E2003412012E2000003030341E05012A700D5FFBFFFFDC50,E2000020830301860590A5F5,-51,11,923250,160,Gen2
260,4,E2006B061B62BA74,111080000000000504426995,-60,11,923250,61,Gen2
261,3,E200680B00004006B9F164510000000000000000000000000000,E200680B0000000000000000,-59,11,923250,171,Gen2
262,2,E2003412013820000030215E02190132300D5FFBFFFFDC50,E2000020830301751240971F,-51,11,923250,90,Gen2
263,1,E2003412013820000030215E02190133300D5FFBFFFFDC50,E2000020830301751240971F,-51,11,923250,154,Gen2
264,1,E2003412013820000030215E02190133700D5FFBFFFFDC50,E2000020830301751240971F,-51,11,923250,135,Gen2
